Picotin ASQ Pte. Ltd.     UEN:202115498M *** DAILY OPERATION SALES ANALYSIS REPORT ***
From 01/12/2024 06:00 To 08/04/2025 05:59


START,END,SALES AMOUNT,GST,TOTAL,PERCENTAGE,ORDERS COUNT,AVG ORDER
02/12/2024 09:29:03,02/12/2024 22:43:08, 2431.00, 218.80, 2649.80,0.824%,60, 44.16
03/12/2024 10:43:14,03/12/2024 22:41:58, 2373.80, 213.65, 2587.45,0.804%,68, 38.05
04/12/2024 10:19:46,04/12/2024 22:38:49, 3043.17, 273.94, 3317.11,1.031%,75, 44.23
05/12/2024 10:19:02,05/12/2024 23:04:33, 6695.30, 602.61, 7297.91,2.269%,84, 86.88
06/12/2024 10:34:43,06/12/2024 23:07:36, 4064.49, 365.80, 4430.29,1.377%,64, 69.22
09/12/2024 09:48:30,09/12/2024 22:43:18, 2162.39, 194.64, 2357.03,0.733%,57, 41.35
10/12/2024 11:00:15,10/12/2024 22:59:38, 6028.50, 542.61, 6571.11,2.043%,79, 83.18
11/12/2024 09:42:43,11/12/2024 22:48:35, 4417.73, 397.59, 4815.32,1.497%,82, 58.72
12/12/2024 10:35:34,12/12/2024 23:08:00, 4612.26, 415.16, 5027.42,1.563%,71, 70.81
13/12/2024 09:35:31,13/12/2024 22:49:21, 2455.79, 221.04, 2676.83,0.832%,64, 41.83
16/12/2024 09:47:31,16/12/2024 22:49:29, 2502.01, 225.18, 2727.19,0.848%,57, 47.85
17/12/2024 09:51:11,17/12/2024 22:59:51, 3675.40, 330.85, 4006.25,1.245%,76, 52.71
18/12/2024 10:09:03,18/12/2024 23:11:12, 5034.92, 453.19, 5488.11,1.706%,74, 74.16
19/12/2024 10:24:32,19/12/2024 22:59:55, 3986.12, 358.76, 4344.88,1.351%,62, 70.08
20/12/2024 09:47:20,20/12/2024 22:50:56, 1685.20, 151.69, 1836.89,0.571%,44, 41.75
23/12/2024 11:13:11,23/12/2024 22:40:42, 2172.80, 195.58, 2368.38,0.736%,59, 40.14
24/12/2024 10:21:08,24/12/2024 21:51:48, 1189.10, 107.04, 1296.14,0.403%,36, 36.00
26/12/2024 11:05:02,26/12/2024 22:32:20, 1691.68, 152.25, 1843.93,0.573%,28, 65.85
27/12/2024 11:00:07,27/12/2024 22:51:30, 1191.85, 107.27, 1299.12,0.404%,66, 19.68
30/12/2024 09:42:08,30/12/2024 22:25:37, 1314.17, 118.28, 1432.45,0.445%,55, 26.04
31/12/2024 10:28:45,31/12/2024 23:34:31, 1197.88, 107.80, 1305.68,0.406%,21, 62.18
02/01/2025 09:38:37,02/01/2025 22:19:36, 728.20, 65.57, 793.77,0.247%,36, 22.05
03/01/2025 10:29:55,03/01/2025 22:32:38, 2178.01, 196.04, 2374.05,0.738%,49, 48.45
06/01/2025 10:35:25,06/01/2025 22:47:32, 3875.30, 348.83, 4224.13,1.313%,59, 71.60
07/01/2025 10:18:34,07/01/2025 22:49:59, 2330.68, 209.78, 2540.46,0.790%,66, 38.49
08/01/2025 10:51:39,08/01/2025 22:42:28, 3490.92, 314.22, 3805.14,1.183%,57, 66.76
09/01/2025 10:24:21,09/01/2025 22:47:55, 3968.23, 357.15, 4325.38,1.345%,73, 59.25
10/01/2025 10:26:10,10/01/2025 22:45:56, 4767.19, 429.06, 5196.25,1.615%,71, 73.19
13/01/2025 10:00:59,13/01/2025 22:37:10, 2010.80, 181.01, 2191.81,0.681%,56, 39.14
14/01/2025 10:25:04,14/01/2025 22:34:35, 4208.76, 378.84, 4587.60,1.426%,73, 62.84
15/01/2025 10:37:50,15/01/2025 22:41:32, 4724.61, 425.24, 5149.85,1.601%,67, 76.86
16/01/2025 10:36:43,16/01/2025 22:53:47, 4435.07, 399.17, 4834.24,1.503%,74, 65.33
17/01/2025 10:50:22,17/01/2025 22:42:06, 4167.37, 375.09, 4542.46,1.412%,78, 58.24
20/01/2025 10:31:03,20/01/2025 22:55:33, 2411.97, 217.11, 2629.08,0.817%,64, 41.08
21/01/2025 10:23:39,21/01/2025 22:59:31, 4444.16, 400.00, 4844.16,1.506%,79, 61.32
22/01/2025 10:43:14,22/01/2025 23:01:24, 4192.43, 377.35, 4569.78,1.421%,81, 56.42
23/01/2025 10:16:51,23/01/2025 23:02:49, 3390.86, 305.18, 3696.04,1.149%,63, 58.67
24/01/2025 10:59:12,24/01/2025 23:05:10, 4305.38, 387.56, 4692.94,1.459%,67, 70.04
27/01/2025 10:14:58,27/01/2025 22:58:55, 2740.48, 246.68, 2987.16,0.929%,59, 50.63
28/01/2025 10:20:05,28/01/2025 19:59:25, 1244.30, 112.00, 1356.30,0.422%,37, 36.66
31/01/2025 10:45:07,31/01/2025 20:37:44, 502.26, 45.21, 547.47,0.170%,28, 19.55
03/02/2025 10:47:41,03/02/2025 22:28:35, 1911.30, 172.02, 2083.32,0.648%,59, 35.31
04/02/2025 10:47:40,04/02/2025 22:43:46, 2549.78, 229.50, 2779.28,0.864%,67, 41.48
05/02/2025 10:04:31,05/02/2025 23:06:54, 4304.49, 387.44, 4691.93,1.459%,66, 71.09
06/02/2025 10:41:05,06/02/2025 23:00:03, 5750.03, 517.54, 6267.57,1.948%,83, 75.51
07/02/2025 09:49:24,07/02/2025 22:45:57, 3316.21, 298.51, 3614.72,1.124%,74, 48.85
10/02/2025 11:03:55,10/02/2025 22:50:38, 2838.77, 255.53, 3094.30,0.962%,72, 42.98
11/02/2025 10:31:25,11/02/2025 22:51:49, 5599.56, 503.96, 6103.52,1.897%,92, 66.34
12/02/2025 10:13:36,12/02/2025 23:12:55, 4966.50, 447.02, 5413.52,1.683%,82, 66.02
13/02/2025 10:09:12,13/02/2025 22:59:52, 3333.90, 300.06, 3633.96,1.130%,68, 53.44
14/02/2025 10:34:07,14/02/2025 22:48:36, 2762.60, 248.64, 3011.24,0.936%,74, 40.69
17/02/2025 10:04:31,17/02/2025 22:47:04, 2022.40, 182.06, 2204.46,0.685%,74, 29.79
