The Hogs Bar PTE. LTD.    UEN: 201016185K *** DAILY OPERATION SALES ANALYSIS REPORT ***
From 21/11/2024 06:00 To 09/04/2025 05:59


START,END,SALES AMOUNT,GST,TOTAL,PERCENTAGE,ORDERS COUNT,AVG ORDER
21/11/2024 15:29:13,21/11/2024 23:58:37, 2218.42, 199.66, 2418.08,0.530%,36, 67.17
22/11/2024 14:47:57,22/11/2024 23:51:23, 1595.03, 143.57, 1738.60,0.381%,19, 91.51
23/11/2024 12:29:02,24/11/2024 00:49:51, 5116.11, 460.46, 5576.57,1.222%,69, 80.82
24/11/2024 10:39:47,24/11/2024 23:48:35, 1824.24, 164.18, 1988.42,0.436%,30, 66.28
25/11/2024 15:24:21,25/11/2024 23:24:06, 1216.62, 109.50, 1326.12,0.291%,16, 82.88
26/11/2024 14:56:32,26/11/2024 23:48:02, 1444.31, 130.05, 1574.36,0.345%,27, 58.31
27/11/2024 14:41:54,27/11/2024 23:35:11, 1809.35, 162.82, 1972.17,0.432%,19, 103.80
28/11/2024 15:01:43,28/11/2024 23:52:17, 1993.75, 179.44, 2173.19,0.476%,28, 77.61
29/11/2024 16:37:26,30/11/2024 01:15:56, 4623.63, 416.16, 5039.79,1.105%,73, 69.04
30/11/2024 10:03:27,01/12/2024 00:18:17, 2557.65, 230.20, 2787.85,0.611%,40, 69.70
01/12/2024 12:50:50,01/12/2024 23:30:56, 3304.41, 297.41, 3601.82,0.789%,42, 85.76
02/12/2024 15:04:55,02/12/2024 23:56:09, 1083.26, 97.50, 1180.76,0.259%,9, 131.20
03/12/2024 14:43:54,03/12/2024 23:25:11, 927.31, 83.47, 1010.78,0.222%,17, 59.46
04/12/2024 15:13:26,04/12/2024 23:55:53, 2265.22, 203.90, 2469.12,0.541%,28, 88.18
05/12/2024 15:03:29,05/12/2024 23:39:41, 1394.25, 125.51, 1519.76,0.333%,23, 66.08
06/12/2024 15:03:11,07/12/2024 00:55:06, 4776.98, 429.96, 5206.94,1.141%,50, 104.14
07/12/2024 10:02:30,08/12/2024 01:13:59, 5675.95, 510.87, 6186.82,1.356%,64, 96.67
08/12/2024 10:07:12,08/12/2024 23:48:50, 1454.08, 130.89, 1584.97,0.347%,23, 68.91
09/12/2024 15:18:05,09/12/2024 23:49:10, 1709.81, 153.90, 1863.71,0.408%,25, 74.55
10/12/2024 15:11:33,10/12/2024 23:35:42, 1544.22, 139.00, 1683.22,0.369%,32, 52.60
11/12/2024 16:21:05,12/12/2024 00:09:18, 2983.92, 268.57, 3252.49,0.713%,46, 70.71
12/12/2024 15:07:57,12/12/2024 23:32:34, 2266.58, 203.98, 2470.56,0.541%,67, 36.87
13/12/2024 15:14:13,14/12/2024 01:10:59, 3037.13, 273.35, 3310.48,0.726%,45, 73.57
14/12/2024 09:28:26,15/12/2024 02:06:41, 4948.36, 445.38, 5393.74,1.182%,59, 91.42
15/12/2024 12:09:17,15/12/2024 23:53:01, 2038.85, 183.52, 2222.37,0.487%,31, 71.69
16/12/2024 14:57:54,16/12/2024 23:37:06, 1330.80, 119.78, 1450.58,0.318%,10, 145.06
17/12/2024 14:35:11,17/12/2024 23:26:47, 1850.03, 166.52, 2016.55,0.442%,31, 65.05
18/12/2024 14:59:04,19/12/2024 00:45:04, 2090.19, 188.12, 2278.31,0.499%,19, 119.91
19/12/2024 14:59:17,20/12/2024 00:47:04, 3515.71, 316.41, 3832.12,0.840%,60, 63.87
20/12/2024 14:57:59,21/12/2024 00:21:57, 3613.72, 325.26, 3938.98,0.863%,58, 67.91
21/12/2024 10:20:44,22/12/2024 01:20:37, 3183.17, 286.50, 3469.67,0.760%,44, 78.86
22/12/2024 09:54:48,23/12/2024 00:41:24, 3244.26, 292.00, 3536.26,0.775%,35, 101.04
23/12/2024 15:06:46,24/12/2024 00:01:30, 1600.50, 144.06, 1744.56,0.382%,15, 116.30
24/12/2024 15:13:31,24/12/2024 23:41:59, 3322.90, 299.10, 3622.00,0.794%,45, 80.49
25/12/2024 11:39:12,25/12/2024 23:43:26, 2829.30, 254.65, 3083.95,0.676%,24, 128.50
26/12/2024 14:50:58,27/12/2024 00:15:00, 2480.09, 223.22, 2703.31,0.592%,42, 64.36
27/12/2024 15:19:23,28/12/2024 00:42:23, 3225.86, 290.33, 3516.19,0.771%,43, 81.77
28/12/2024 09:43:21,29/12/2024 01:49:40, 3753.19, 337.80, 4090.99,0.897%,37, 110.57
29/12/2024 09:51:23,29/12/2024 23:12:22, 2053.62, 184.84, 2238.46,0.491%,27, 82.91
30/12/2024 14:28:13,30/12/2024 23:53:36, 3401.30, 306.13, 3707.43,0.813%,23, 161.19
31/12/2024 15:08:09,01/01/2025 02:35:40, 4532.23, 407.93, 4940.16,1.083%,37, 133.52
01/01/2025 10:10:40,01/01/2025 23:06:45, 1121.28, 100.92, 1222.20,0.268%,15, 81.48
02/01/2025 15:12:15,02/01/2025 23:41:51, 1174.83, 105.76, 1280.59,0.281%,25, 51.22
03/01/2025 16:03:29,04/01/2025 01:16:05, 2110.91, 189.97, 2300.88,0.504%,30, 76.70
04/01/2025 10:07:17,05/01/2025 01:11:19, 3366.78, 303.03, 3669.81,0.804%,49, 74.89
05/01/2025 11:17:12,05/01/2025 23:37:08, 1561.51, 140.52, 1702.03,0.373%,28, 60.79
06/01/2025 15:08:25,06/01/2025 23:20:43, 569.78, 51.28, 621.06,0.136%,7, 88.72
07/01/2025 14:35:34,07/01/2025 23:55:04, 1576.12, 141.82, 1717.94,0.377%,31, 55.42
08/01/2025 14:39:53,08/01/2025 23:08:28, 1471.79, 132.46, 1604.25,0.352%,16, 100.27
09/01/2025 14:41:01,10/01/2025 01:11:47, 2674.10, 240.69, 2914.79,0.639%,36, 80.97
10/01/2025 14:52:31,11/01/2025 01:17:29, 2734.83, 246.14, 2980.97,0.653%,32, 93.16
11/01/2025 10:02:26,11/01/2025 23:59:15, 2264.14, 203.79, 2467.93,0.541%,25, 98.72
12/01/2025 00:06:44,12/01/2025 23:19:54, 1571.50, 141.44, 1712.94,0.375%,25, 68.52
13/01/2025 15:03:04,13/01/2025 23:23:21, 513.78, 46.25, 560.03,0.123%,12, 46.67
14/01/2025 14:50:20,14/01/2025 23:25:25, 1079.11, 97.13, 1176.24,0.258%,25, 47.05
15/01/2025 15:14:32,15/01/2025 23:36:12, 954.48, 85.91, 1040.39,0.228%,14, 74.31
16/01/2025 15:14:47,16/01/2025 23:51:38, 2253.65, 202.84, 2456.49,0.538%,36, 68.24
17/01/2025 14:39:14,18/01/2025 00:10:35, 4318.60, 388.69, 4707.29,1.032%,71, 66.30
18/01/2025 10:59:54,19/01/2025 00:44:57, 5704.83, 513.48, 6218.31,1.363%,60, 103.64
