Picotin Brewhaus PTE. LTD.    UEN: 202103698K *** DAILY OPERATION SALES ANALYSIS REPORT ***
From 21/11/2024 06:00 To 08/04/2025 05:59


START,END,SALES AMOUNT,PERCENTAGE,ORDERS COUNT,AVG ORDER
21/11/2024 09:12:24,21/11/2024 22:38:54, 2044.94,0.626%,36, 56.80
22/11/2024 09:11:37,22/11/2024 23:20:06, 3735.60,1.144%,43, 86.87
23/11/2024 11:18:49,23/11/2024 22:54:01, 2500.68,0.766%,41, 60.99
24/11/2024 11:07:23,24/11/2024 22:08:07, 1429.00,0.438%,28, 51.04
25/11/2024 09:26:43,25/11/2024 23:22:43, 4429.26,1.357%,27, 164.05
26/11/2024 09:12:28,26/11/2024 22:28:01, 1899.03,0.582%,31, 61.26
26/11/2024 22:39:45,27/11/2024 22:42:45, 5370.56,1.645%,43, 124.90
28/11/2024 09:15:15,28/11/2024 23:30:41, 2284.70,0.700%,32, 71.40
29/11/2024 10:44:30,29/11/2024 23:01:07, 2878.92,0.882%,37, 77.81
30/11/2024 11:32:44,30/11/2024 22:42:43, 2636.31,0.808%,54, 48.82
30/11/2024 23:02:59,01/12/2024 22:12:00, 1116.28,0.342%,28, 39.87
02/12/2024 09:54:30,02/12/2024 22:41:08, 3414.40,1.046%,34, 100.42
03/12/2024 09:21:36,03/12/2024 22:55:23, 4396.34,1.347%,37, 118.82
04/12/2024 11:14:20,04/12/2024 23:03:04, 2958.60,0.906%,44, 67.24
04/12/2024 23:25:18,05/12/2024 22:52:57, 3064.88,0.939%,41, 74.75
06/12/2024 10:53:48,06/12/2024 23:00:14, 3309.40,1.014%,45, 73.54
07/12/2024 11:21:58,07/12/2024 22:51:13, 2002.66,0.614%,38, 52.70
08/12/2024 11:07:30,08/12/2024 22:22:16, 1940.08,0.594%,27, 71.85
09/12/2024 10:48:23,09/12/2024 22:45:29, 1727.46,0.529%,34, 50.81
10/12/2024 10:48:32,10/12/2024 22:49:50, 2489.56,0.763%,55, 45.26
11/12/2024 10:51:32,11/12/2024 23:06:54, 1427.80,0.437%,27, 52.88
12/12/2024 10:49:02,12/12/2024 22:26:12, 1854.70,0.568%,25, 74.19
13/12/2024 09:27:00,13/12/2024 22:53:57, 4250.80,1.302%,39, 108.99
14/12/2024 11:20:11,14/12/2024 22:31:43, 1622.99,0.497%,18, 90.17
15/12/2024 11:08:43,15/12/2024 21:49:28, 983.58,0.301%,20, 49.18
16/12/2024 09:14:42,16/12/2024 21:56:13, 952.38,0.292%,19, 50.13
17/12/2024 09:09:30,17/12/2024 22:59:18, 1426.28,0.437%,23, 62.01
18/12/2024 09:02:17,18/12/2024 23:34:22, 4784.34,1.466%,42, 113.91
19/12/2024 09:07:15,19/12/2024 23:09:03, 3565.06,1.092%,43, 82.91
20/12/2024 09:00:29,20/12/2024 22:45:04, 2130.76,0.653%,47, 45.34
21/12/2024 11:17:39,21/12/2024 22:32:24, 1176.12,0.360%,26, 45.24
22/12/2024 11:20:10,22/12/2024 22:31:20, 1678.17,0.514%,27, 62.15
23/12/2024 09:00:57,23/12/2024 22:16:47, 1555.50,0.477%,30, 51.85
23/12/2024 22:18:05,24/12/2024 22:03:44, 1592.36,0.488%,21, 75.83
25/12/2024 11:01:58,25/12/2024 22:05:14, 826.28,0.253%,14, 59.02
26/12/2024 09:17:01,26/12/2024 21:46:18, 224.98,0.069%,10, 22.50
27/12/2024 09:01:19,27/12/2024 22:45:49, 3324.42,1.018%,36, 92.35
28/12/2024 12:17:42,28/12/2024 22:18:34, 485.10,0.149%,14, 34.65
29/12/2024 11:14:56,29/12/2024 22:46:57, 972.73,0.298%,17, 57.22
30/12/2024 09:05:30,30/12/2024 22:03:28, 1214.30,0.372%,19, 63.91
31/12/2024 10:57:05,31/12/2024 22:32:05, 1112.46,0.341%,22, 50.57
01/01/2025 09:11:32,01/01/2025 22:29:58, 1101.65,0.337%,15, 73.44
02/01/2025 09:03:22,02/01/2025 22:42:26, 1487.08,0.456%,23, 64.66
03/01/2025 08:58:25,03/01/2025 23:01:21, 5662.36,1.735%,38, 149.01
04/01/2025 11:09:35,04/01/2025 22:29:19, 1006.39,0.308%,20, 50.32
05/01/2025 11:09:11,05/01/2025 22:14:58, 978.80,0.300%,15, 65.25
06/01/2025 09:07:20,06/01/2025 22:29:46, 748.66,0.229%,23, 32.55
07/01/2025 09:00:10,07/01/2025 22:59:53, 1970.10,0.604%,45, 43.78
08/01/2025 09:00:15,08/01/2025 22:52:38, 2610.30,0.800%,32, 81.57
09/01/2025 09:04:51,09/01/2025 22:57:49, 2804.45,0.859%,37, 75.80
10/01/2025 09:05:37,10/01/2025 23:04:13, 3314.65,1.015%,43, 77.08
11/01/2025 11:17:43,11/01/2025 22:29:01, 1033.05,0.316%,24, 43.04
12/01/2025 11:16:35,12/01/2025 22:29:45, 1548.15,0.474%,28, 55.29
13/01/2025 08:57:44,13/01/2025 22:47:49, 1364.80,0.418%,25, 54.59
14/01/2025 09:06:31,14/01/2025 22:51:00, 1566.90,0.480%,34, 46.09
15/01/2025 09:03:25,15/01/2025 22:46:25, 1194.60,0.366%,26, 45.95
16/01/2025 09:10:53,16/01/2025 23:09:00, 3828.02,1.173%,43, 89.02
17/01/2025 08:57:59,17/01/2025 23:29:50, 9105.80,2.790%,24, 379.41
17/01/2025 23:34:45,18/01/2025 22:53:12, 2157.32,0.661%,42, 51.36
19/01/2025 11:07:17,19/01/2025 21:52:32, 608.10,0.186%,13, 46.78
20/01/2025 09:06:33,20/01/2025 22:29:12, 1501.00,0.460%,20, 75.05
21/01/2025 09:01:35,21/01/2025 23:31:09, 4243.03,1.300%,52, 81.60
22/01/2025 08:59:36,22/01/2025 22:46:19, 1501.50,0.460%,28, 53.63
23/01/2025 09:01:52,23/01/2025 22:42:22, 2006.20,0.615%,35, 57.32
24/01/2025 08:57:17,24/01/2025 22:36:30, 2488.20,0.762%,38, 65.48
25/01/2025 10:54:06,25/01/2025 22:46:30, 1259.20,0.386%,20, 62.96
26/01/2025 11:10:26,26/01/2025 22:33:36, 680.90,0.209%,18, 37.83
27/01/2025 13:26:20,27/01/2025 22:38:08, 1058.20,0.324%,20, 52.91
28/01/2025 08:55:25,28/01/2025 22:09:49, 2204.80,0.675%,35, 62.99
29/01/2025 11:20:07,29/01/2025 22:55:50, 1772.10,0.543%,14, 126.58
30/01/2025 10:57:58,30/01/2025 22:52:20, 2777.00,0.851%,27, 102.85
31/01/2025 08:58:13,31/01/2025 22:49:04, 3214.40,0.985%,57, 56.39
01/02/2025 11:14:00,01/02/2025 22:49:16, 809.30,0.248%,22, 36.79
02/02/2025 11:05:03,02/02/2025 22:20:59, 1234.50,0.378%,26, 47.48
03/02/2025 09:00:13,03/02/2025 22:25:38, 873.30,0.268%,29, 30.11
04/02/2025 08:56:16,04/02/2025 22:47:38, 2186.80,0.670%,24, 91.12
05/02/2025 08:56:36,05/02/2025 22:55:04, 2748.90,0.842%,30, 91.63
06/02/2025 08:59:27,06/02/2025 22:44:47, 1327.32,0.407%,26, 51.05
07/02/2025 08:56:59,07/02/2025 23:16:09, 3147.90,0.964%,55, 57.23
08/02/2025 11:10:29,08/02/2025 22:50:13, 1968.70,0.603%,42, 46.87
09/02/2025 11:05:27,09/02/2025 22:23:47, 1593.00,0.488%,28, 56.89
10/02/2025 08:54:47,10/02/2025 22:38:59, 1425.40,0.437%,27, 52.79
11/02/2025 08:57:39,11/02/2025 22:53:25, 2217.71,0.679%,36, 61.60
12/02/2025 09:01:32,12/02/2025 23:05:20, 5119.45,1.568%,36, 142.21
13/02/2025 09:00:21,14/02/2025 00:14:30, 5186.00,1.589%,62, 83.65
14/02/2025 11:00:05,15/02/2025 00:18:02, 5745.40,1.760%,76, 75.60
15/02/2025 11:01:51,15/02/2025 22:47:23, 2256.50,0.691%,38, 59.38
16/02/2025 11:02:29,16/02/2025 22:00:09, 1340.00,0.411%,26, 51.54
17/02/2025 08:57:43,17/02/2025 22:57:27, 2605.84,0.798%,36, 72.38
18/02/2025 08:59:52,18/02/2025 23:14:29, 2616.57,0.802%,34, 76.96
19/02/2025 08:55:51,19/02/2025 23:04:16, 2352.90,0.721%,30, 78.43
20/02/2025 09:00:11,20/02/2025 23:49:03, 4082.21,1.251%,63, 64.80
21/02/2025 09:05:57,22/02/2025 01:03:43, 5502.83,1.686%,70, 78.61
22/02/2025 11:07:30,22/02/2025 22:59:09, 2531.25,0.775%,34, 74.45
23/02/2025 11:09:37,23/02/2025 22:23:34, 2058.70,0.631%,36, 57.19
24/02/2025 08:58:44,24/02/2025 22:32:25, 1633.50,0.500%,25, 65.34
25/02/2025 08:57:17,25/02/2025 22:33:50, 5284.40,1.619%,40, 132.11
26/02/2025 08:51:41,26/02/2025 22:58:20, 2248.00,0.689%,40, 56.20
27/02/2025 09:04:22,27/02/2025 22:48:38, 2305.60,0.706%,49, 47.05
28/02/2025 11:08:15,28/02/2025 23:30:27, 4470.40,1.369%,67, 66.72
01/03/2025 11:07:50,01/03/2025 22:34:51, 2735.28,0.838%,43, 63.61
02/03/2025 10:58:04,02/03/2025 22:31:15, 1510.10,0.463%,31, 48.71
03/03/2025 08:53:17,03/03/2025 22:25:22, 1146.90,0.351%,23, 49.87
04/03/2025 08:52:59,04/03/2025 22:54:07, 2387.11,0.731%,24, 99.46
05/03/2025 08:48:29,05/03/2025 22:39:01, 1395.00,0.427%,34, 41.03
06/03/2025 08:54:53,06/03/2025 23:10:36, 3944.60,1.208%,47, 83.93
07/03/2025 08:51:01,08/03/2025 00:11:23, 4850.99,1.486%,62, 78.24
08/03/2025 10:59:49,08/03/2025 22:54:17, 2214.40,0.678%,45, 49.21
09/03/2025 10:57:46,09/03/2025 22:05:58, 900.35,0.276%,20, 45.02
10/03/2025 08:47:28,10/03/2025 23:02:58, 2282.20,0.699%,29, 78.70
11/03/2025 08:52:16,11/03/2025 22:51:23, 2075.10,0.636%,39, 53.21
12/03/2025 08:50:58,12/03/2025 22:37:20, 2170.72,0.665%,31, 70.02
13/03/2025 08:52:25,13/03/2025 22:56:12, 4582.51,1.404%,56, 81.83
14/03/2025 08:54:06,14/03/2025 22:48:23, 3748.90,1.148%,63, 59.51
15/03/2025 11:00:20,15/03/2025 22:50:12, 2523.50,0.773%,41, 61.55
